GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2Mutatie,3,6,0,0,1,3,1,1,1,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2LoaderUtils.BAGExtractSelectieFromLeveringsdocument,33,36,2,2,12,14,4,4,2,4
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2MutatieGroep,6,33,3,3,1,7,3,4,0,4
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2LoaderUtils.BAGExtractSelectieFromFilename,27,143,4,12,6,34,5,11,1,7
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2ToevoegingMutatie,6,10,0,0,2,4,1,2,1,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2Database,401,0,35,0,98,0,35,0,17,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2LoaderUtils,189,98,8,2,38,19,12,4,7,4
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2GMLMutatieGroepStream,26,495,6,42,9,130,5,39,0,15
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2ProgressReporter,131,0,7,0,34,0,13,0,8,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2GMLMutatieGroepStream.new Iterator() {...},37,191,6,16,10,49,6,9,0,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2GMLMutatieGroepStream.BagInfo,74,43,12,0,11,15,11,7,5,7
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2WijzigingMutatie,8,16,0,0,2,6,1,3,1,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader,BAG2Database.SQLDialectEnum,15,0,0,0,3,0,1,0,1,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2SchemaMapper.Metadata,50,0,0,0,9,0,2,0,2,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2ObjectTableWriter,382,0,32,0,102,0,34,0,18,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2Object,0,9,0,0,0,3,0,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2ObjectTableWriter.BAG2Progress,30,0,0,0,8,0,5,0,5,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2ObjectType,0,12,0,0,0,4,0,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2SchemaMapper,106,0,4,0,24,0,9,0,7,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.schema,BAG2Schema,3,575,0,4,1,54,1,9,1,7
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.util,Force2DCoordinateSequenceFactory,11,32,1,3,2,5,3,3,2,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2LoaderMain,1414,0,157,0,339,0,107,0,25,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2LoadOptions,52,0,0,0,21,0,13,0,13,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2ProgressOptions,28,0,4,0,10,0,8,0,6,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2MutatiesCommand,607,0,38,0,127,0,32,0,13,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2ConsoleProgressReporter,44,0,5,0,13,0,6,0,3,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.loader.cli,BAG2DatabaseOptions,50,0,0,0,20,0,11,0,11,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GebiedRegistratief,8,9,0,0,4,3,2,3,2,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GebiedNLD,3,0,0,0,1,0,1,0,1,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,Mutatieperiode,17,0,0,0,7,0,5,0,5,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,MUTExtract,17,0,0,0,7,0,5,0,5,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,APDExtract,17,0,0,0,7,0,5,0,5,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GemeenteCollectie,5,9,1,1,1,3,1,2,0,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,Gemeente,11,6,0,0,5,2,3,2,3,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,SelectieGegevens,22,9,0,0,10,3,6,3,6,3
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,SchemaInfo,14,3,0,0,6,1,4,1,4,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,LVCExtract,7,3,0,0,3,1,2,1,2,1
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,ObjectFactory,290,0,0,0,48,0,31,0,31,0
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,BAGExtractLevering,11,6,0,0,5,2,3,2,3,2
BRMO BAG 2.0 loader,nl.b3p.brmo.bag2.xml.leveringsdocument,GebiedGEM,4,6,0,0,2,2,1,2,1,2
