GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream.new HttpStartRangeInputStreamProvider() {...},40,19,5,1,9,3,3,2,0,2
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream.new Java11HttpClientWrapper() {...},7,36,2,2,2,8,2,3,0,3
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTDatabase,156,264,13,24,35,72,15,21,3,14
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer.new Iterator() {...},90,274,18,38,19,67,14,18,0,4
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ResumingBGTDownloadInputStream,0,23,0,0,0,5,0,3,0,3
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,ProgressReporter,93,203,6,13,21,44,10,16,6,9
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer.MutatieInhoud,3,17,0,0,1,5,1,4,1,4
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTObjectStreamer,52,518,7,56,11,125,9,39,2,12
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,Utils,58,87,5,3,5,18,5,9,1,9
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.loader,BGTDatabase.SQLDialectEnum,0,15,0,0,0,3,0,1,0,1
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PostgresCopyEscapeUtils.new CharSequenceTranslator() {...},27,40,6,6,7,10,5,3,0,2
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PostGISCopyInsertBatch,52,195,6,20,7,52,6,14,0,7
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,QueryBatch,1,4,0,0,1,3,0,1,0,1
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PreparedStatementQueryBatch,28,156,3,11,5,39,3,11,0,7
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,PostgresCopyEscapeUtils,3,8,0,0,1,2,1,2,1,2
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,LoggingQueryRunner,295,47,4,2,60,12,32,6,29,6
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.sql,GeometryHandlingPreparedStatementBatch,0,43,0,2,0,9,0,3,0,2
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaCustomApi,83,265,14,16,22,63,15,10,1,9
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaApi.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DownloadApiUtils,43,108,5,7,8,29,7,2,2,1
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,CustomDownloadProgress,6,15,0,0,2,5,2,4,2,4
BRMO BGT / IMGeo CityGML loader,nl.b3p.brmo.bgt.download.api,DeltaApi,94,180,15,7,18,43,14,5,3,5
