GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,BrmoLeegBestandException,16,0,0,0,7,0,4,0,4,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,BrmoException,16,0,0,0,7,0,4,0,4,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,StagingRowHandler,379,0,76,0,84,0,41,0,3,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,TableRow,145,63,9,1,37,20,13,10,8,10
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,StagingBeanProcessor,61,0,6,0,13,0,5,0,2,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,RsgbBRPTransformer,232,0,16,0,63,0,16,0,8,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,DataComfortXMLReader,54,303,14,34,13,87,12,17,0,3
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,TopNLRsgbTransformer,181,0,14,0,50,0,12,0,5,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,TableData,79,69,0,0,24,20,14,5,14,5
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,BrmoDuplicaatLaadprocesException,16,0,0,0,7,0,4,0,4,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,StagingRowHandler.IgnoreCaseStringList,25,0,4,0,7,0,4,0,2,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,RsgbTransformer,138,4,8,0,25,1,8,1,4,1
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.util,RsgbWOZTransformer,72,130,5,1,22,32,5,3,2,3
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader,BrmoFramework,917,0,52,0,251,0,74,0,48,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader,RsgbProxy.BerichtSelectMode,33,0,0,0,6,0,1,0,1,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader,StagingProxy,2831,0,256,0,648,0,175,0,47,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader,RsgbProxy,4486,0,421,0,1055,0,261,0,46,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader,BrmoFramework.new CountingInputStream() {...},22,0,2,0,5,0,3,0,2,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,BrkSnapshotXMLReader.MutatieGegevens,15,0,0,0,5,0,1,0,1,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,BRPXMLReader,305,0,16,0,76,0,16,0,8,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,BrkSnapshotXMLReader,425,0,84,0,94,0,48,0,6,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,NhrXMLReader,437,0,28,0,101,0,23,0,9,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,WozXMLReader,760,0,76,0,175,0,47,0,9,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,GbavXMLReader,10,207,3,15,4,54,3,12,0,6
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,BrmoXMLReader,52,40,0,0,21,15,13,8,13,8
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,Brk2SnapshotXMLReader,7,369,4,72,3,80,4,40,0,6
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,TopNLFileReader,77,0,6,0,21,0,9,0,6,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.xml,Brk2SnapshotXMLReader.MutatieGegevens,0,15,0,0,0,5,0,1,0,1
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.advancedfunctions,AdvancedFunctionProcess,33,0,0,0,14,0,7,0,7,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.entity,NhrBerichten,3,0,0,0,1,0,1,0,1,0
BRMO initialisatie utilities/brmo-loader,nl.b3p.brmo.loader.entity,Bericht.STATUS,57,0,0,0,10,0,1,0,1,0
