GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO loader,nl.b3p.brmo.loader.util,BrmoLeegBestandException,16,0,0,0,7,0,4,0,4,0
BRMO loader,nl.b3p.brmo.loader.util,BrmoException,16,0,0,0,7,0,4,0,4,0
BRMO loader,nl.b3p.brmo.loader.util,StagingRowHandler,20,359,26,50,5,79,26,15,0,3
BRMO loader,nl.b3p.brmo.loader.util,TableRow,87,121,6,4,23,34,7,16,4,14
BRMO loader,nl.b3p.brmo.loader.util,StagingBeanProcessor,61,0,6,0,13,0,5,0,2,0
BRMO loader,nl.b3p.brmo.loader.util,RsgbBRPTransformer,232,0,16,0,63,0,16,0,8,0
BRMO loader,nl.b3p.brmo.loader.util,DataComfortXMLReader,8,349,8,40,1,99,8,21,0,3
BRMO loader,nl.b3p.brmo.loader.util,TopNLRsgbTransformer,44,137,7,7,15,35,6,6,0,5
BRMO loader,nl.b3p.brmo.loader.util,TableData,44,104,0,0,15,29,8,11,8,11
BRMO loader,nl.b3p.brmo.loader.util,BrmoDuplicaatLaadprocesException,16,0,0,0,7,0,4,0,4,0
BRMO loader,nl.b3p.brmo.loader.util,StagingRowHandler.IgnoreCaseStringList,0,25,0,4,0,7,0,4,0,2
BRMO loader,nl.b3p.brmo.loader.util,RsgbTransformer,36,106,4,4,4,22,5,4,1,4
BRMO loader,nl.b3p.brmo.loader.util,RsgbWOZTransformer,14,188,2,4,4,50,2,6,0,5
BRMO loader,nl.b3p.brmo.loader,BrmoFramework,606,311,44,8,173,78,52,22,26,22
BRMO loader,nl.b3p.brmo.loader,RsgbProxy.BerichtSelectMode,0,33,0,0,0,6,0,1,0,1
BRMO loader,nl.b3p.brmo.loader,StagingProxy,1063,1768,136,120,228,420,115,60,15,32
