GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO service,nl.b3p.brmo.web.geotools,GeotoolsContextListener,13,0,0,0,8,0,3,0,3,0
BRMO service,nl.b3p.brmo.service.stripes,BAG2LoadActionBean,375,0,14,0,120,0,51,0,44,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtenActionBean,402,0,28,0,105,0,41,0,27,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},16,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtDoorsturenUitvoerActionBean,206,0,6,0,69,0,36,0,33,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BAG2MutatieProcesUitvoerenActionBean,216,0,4,0,66,0,30,0,28,0
BRMO service,nl.b3p.brmo.service.stripes,LaadprocesStatusRapportActionBean,116,0,2,0,36,0,18,0,17,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean.new HashMap() {...},26,0,0,0,6,0,1,0,1,0
BRMO service,nl.b3p.brmo.service.stripes,BasisregistratieFileUploadActionBean,333,0,30,0,94,0,25,0,10,0
BRMO service,nl.b3p.brmo.service.stripes,LaadprocesTransformatieUitvoerActionBean,281,0,10,0,83,0,39,0,34,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtstatusRapportActionBean,116,0,2,0,36,0,18,0,17,0
BRMO service,nl.b3p.brmo.service.stripes,OphaalConfigActionBean,481,0,34,0,117,0,46,0,23,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtenActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtenActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BerichtenActionBean.new StreamingResolution() {...},16,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BGTLoaderUitvoerenActionBean,200,0,4,0,62,0,28,0,26,0
BRMO service,nl.b3p.brmo.service.stripes,BasisregistratieFileUploadActionBean.new ProgressUpdateListener() {...},21,0,0,0,5,0,4,0,4,0
BRMO service,nl.b3p.brmo.service.stripes,NHRActionBean.new StreamingResolution() {...},16,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,NHRActionBean.new StreamingResolution() {...},17,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,SamenvattingActionBean,85,0,4,0,22,0,12,0,10,0
BRMO service,nl.b3p.brmo.service.stripes,NHRActionBean.new StreamingResolution() {...},12,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,AfgifteNummerScanUitvoerenActionBean,260,0,6,0,75,0,30,0,27,0
BRMO service,nl.b3p.brmo.service.stripes,TransformActionBean,367,0,25,0,113,0,50,0,36,0
BRMO service,nl.b3p.brmo.service.stripes,BasisregistratieBigFileLoadActionBean,216,0,8,0,60,0,31,0,27,0
BRMO service,nl.b3p.brmo.service.stripes,BAG2LoadActionBean.new BAG2Database() {...},12,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,BasisregistratieServiceActionBean,247,0,20,0,55,0,18,0,8,0
BRMO service,nl.b3p.brmo.service.stripes,LaadProcesActionBean,476,0,30,0,119,0,43,0,28,0
BRMO service,nl.b3p.brmo.service.stripes,AdvancedFunctionsActionBean,1390,0,76,0,350,0,76,0,36,0
BRMO service,nl.b3p.brmo.service.stripes,NHRActionBean,797,0,36,0,179,0,53,0,35,0
BRMO service,nl.b3p.brmo.service.stripes,GDS2OphalenUitvoerActionBean,262,0,10,0,78,0,39,0,34,0
BRMO service,nl.b3p.brmo.service.stripes,UpdatesActionBean,339,0,24,0,93,0,40,0,28,0
BRMO service,nl.b3p.brmo.service.stripes,DirectoryScannerUitvoerActionBean,259,0,8,0,80,0,37,0,33,0
BRMO service,nl.b3p.brmo.service.stripes,ControleActionBean,139,0,2,0,37,0,9,0,8,0
BRMO service,nl.b3p.brmo.service.stripes,MailProcesUitvoerActionBean,88,0,2,0,22,0,7,0,6,0
BRMO service,nl.b3p.brmo.service.stripes,ControleActionBean.new StreamingResolution() {...},22,0,0,0,5,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.stripes,MViewRefreshActionBean,116,0,2,0,36,0,18,0,17,0
BRMO service,nl.b3p.brmo.service.stripersist,DynamicStripersistInitializer,101,0,6,0,29,0,7,0,4,0
BRMO service,nl.b3p.brmo.service.scanner,BAG2MutatieProcesRunner.new ProgressUpdateListener() {...},28,0,0,0,10,0,6,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,MaterializedViewRefreshUitvoeren.new ProgressUpdateListener() {...},17,0,0,0,8,0,6,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,LaadprocesStatusRapport.new ProgressUpdateListener() {...},14,0,0,0,7,0,6,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,BAG2MutatieProcesRunner.new BAG2Database() {...},12,0,0,0,3,0,2,0,2,0
BRMO service,nl.b3p.brmo.service.scanner,BAG2MutatieProcesRunner.new ProgressReporter() {...},19,0,0,0,5,0,3,0,3,0
BRMO service,nl.b3p.brmo.service.scanner,BerichtTransformatieUitvoeren,380,0,20,0,92,0,16,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,AfgifteNummerScanner.new ProgressUpdateListener() {...},14,0,0,0,7,0,6,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,BerichtstatusRapport,258,0,8,0,59,0,8,0,4,0
BRMO service,nl.b3p.brmo.service.scanner,BRK2DirectoryScanner.new ProgressUpdateListener() {...},14,0,0,0,7,0,6,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,BerichtDoorsturenProces.new ProgressUpdateListener() {...},21,0,0,0,9,0,6,0,6,0
BRMO service,nl.b3p.brmo.service.scanner,BGTLoader,314,0,12,0,78,0,10,0,4,0
BRMO service,nl.b3p.brmo.service.scanner,GDS2OphalenProces,1935,0,143,0,496,0,85,0,12,0
BRMO service,nl.b3p.brmo.service.scanner,ProcesExecutable.ProcessingImple,81,0,0,0,14,0,1,0,1,0
BRMO service,nl.b3p.brmo.service.scanner,BAG2MutatieProcesRunner,405,0,21,0,92,0,16,0,4,0
BRMO service,nl.b3p.brmo.service.scanner,TopNLDirectoryScanner,645,0,28,0,128,0,22,0,8,0
