GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,GetMutatieListResponse,10,0,0,0,4,0,3,0,3,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,Brondocumenten,14,0,2,0,4,0,3,0,2,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,AddreseerbaarObjectAanduiding,52,0,0,0,22,0,15,0,15,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,ZakelijkRecht,38,0,0,0,16,0,11,0,11,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,EigendomMutatieRequest,17,0,0,0,7,0,5,0,5,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,EigendomMutatieResponse,21,0,2,0,7,0,5,0,4,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,MutatieListResponse,21,0,2,0,7,0,5,0,4,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,HistorischeRelaties,14,0,2,0,4,0,3,0,2,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,EigendomMutatieService,15,0,0,0,5,0,3,0,3,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,EigendomMutatie,441,0,0,0,136,0,20,0,20,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,GetEigendomMutatiesResponse,10,0,0,0,4,0,3,0,3,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,BenoemdObjecten,14,0,2,0,4,0,3,0,2,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,MutatieEntry,31,0,0,0,13,0,9,0,9,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,EigendomMutatieException,10,0,0,0,4,0,2,0,2,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,GetMutatieList,10,0,0,0,4,0,3,0,3,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,ZakelijkeRechten,14,0,2,0,4,0,3,0,2,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,Document,17,0,0,0,7,0,5,0,5,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,BenoemdObject,42,0,2,0,16,0,11,0,10,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,MutatieListRequest,24,0,0,0,10,0,7,0,7,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,HistorischeRelatie,17,0,0,0,7,0,5,0,5,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.eigendom,GetEigendomMutaties,10,0,0,0,4,0,3,0,3,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.db,EigendomInfo,1922,0,152,0,485,0,99,0,22,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.db,BrkInfo,1317,0,102,0,309,0,68,0,15,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,AdresResponse,45,0,0,0,19,0,13,0,13,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,AdressenResponse,302,0,10,0,85,0,13,0,8,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,RechtenResponse,253,0,18,0,77,0,17,0,8,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,BrkInfoException,10,0,0,0,4,0,2,0,2,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,ZakelijkRechtResponse,47,0,0,0,19,0,13,0,13,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,PerceelAdresInfoRequest,31,0,0,0,14,0,9,0,9,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,GetBrkInfoImpl,93,0,8,0,23,0,7,0,3,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,NatuurlijkPersoonResponse,332,0,12,0,102,0,34,0,28,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,RelatiesResponse,20,0,0,0,8,0,5,0,5,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,BrkInfoResponse,43,0,2,0,16,0,9,0,8,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,KadOnrndZkInfoRequest,38,0,0,0,17,0,11,0,11,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,BrkInfoRequest,78,0,0,0,32,0,19,0,19,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,NietNatuurlijkPersoonResponse,193,0,8,0,60,0,18,0,14,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,KadOnrndZkInfoResponse,495,0,16,0,151,0,52,0,44,0
BRMO soap bevragingsservice,nl.b3p.brmo.soap.brk,HistorischeRelatieResponse,24,0,0,0,10,0,7,0,7,0
