GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO STUF BG 204/brmo-soap-util,nl.b3p.brmo.soap.util,LogMessageHandler,79,0,6,0,24,0,9,0,6,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,BrmoLeegBestandException,16,0,0,0,8,0,4,0,4,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,BrmoException,16,0,0,0,8,0,4,0,4,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,StagingRowHandler,382,0,76,0,83,0,41,0,3,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,TableRow,148,60,9,1,38,19,14,9,9,9
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,StagingBeanProcessor,61,0,6,0,13,0,5,0,2,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,RsgbBRPTransformer,238,0,16,0,65,0,16,0,8,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,DataComfortXMLReader,101,283,17,29,22,79,14,14,0,3
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,TopNLRsgbTransformer,181,0,14,0,47,0,12,0,5,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,TableData,79,69,0,0,24,20,14,5,14,5
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,BrmoDuplicaatLaadprocesException,16,0,0,0,8,0,4,0,4,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,StagingRowHandler.IgnoreCaseStringList,28,0,4,0,7,0,4,0,2,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,RsgbTransformer.new URIResolver() {...},14,0,0,0,2,0,2,0,2,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,RsgbTransformer,134,4,8,0,22,1,7,1,3,1
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.util,RsgbWOZTransformer,81,225,6,16,25,56,6,12,2,5
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,RsgbProxy.STATEMENT_TYPE,44,0,0,0,2,0,1,0,1,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,BrmoFramework,960,0,54,0,254,0,74,0,47,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,StagingProxy.new ResultSetHandler() {...},148,0,10,0,29,0,7,0,2,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,RsgbProxy.BerichtSelectMode,54,0,0,0,2,0,1,0,1,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,StagingProxy,2796,0,248,0,537,0,172,0,48,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,RsgbProxy,4329,0,418,0,930,0,259,0,48,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader,BrmoFramework.new CountingInputStream() {...},22,0,2,0,5,0,3,0,2,0
BRMO STUF BG 204/brmo-loader,nl.b3p.brmo.loader.xml,BrkSnapshotXMLReader.MutatieGegevens,0,15,0,0,0,5,0,1,0,1
