GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BRMO TopNL loader,net.sf.saxon.s9api,ItemType,308,0,0,0,56,0,2,0,2,0
BRMO TopNL loader,net.sf.saxon.s9api,XdmAtomicValue,373,0,58,0,94,0,46,0,17,0
BRMO TopNL loader,net.sf.saxon.s9api,SAXDestination,21,0,0,0,8,0,3,0,3,0
BRMO TopNL loader,net.sf.saxon.s9api,DocumentBuilder.BuildingContentHandlerImpl,20,0,0,0,6,0,2,0,2,0
BRMO TopNL loader,net.sf.saxon.s9api,SchemaManager,76,0,0,0,28,0,9,0,9,0
BRMO TopNL loader,net.sf.saxon.s9api,XdmFunctionItem,97,0,6,0,20,0,8,0,5,0
BRMO TopNL loader,net.sf.saxon.s9api,XdmEmptySequence,13,0,0,0,5,0,4,0,4,0
BRMO TopNL loader,net.sf.saxon.s9api,SchemaValidator,233,0,16,0,62,0,28,0,20,0
BRMO TopNL loader,net.sf.saxon.s9api,DocumentBuilder,361,0,44,0,94,0,42,0,20,0
BRMO TopNL loader,net.sf.saxon.s9api,ItemType.new ItemType() {...},15,0,0,0,5,0,5,0,5,0
BRMO TopNL loader,net.sf.saxon.s9api,ItemType.new ItemType() {...},15,0,0,0,5,0,5,0,5,0
BRMO TopNL loader,net.sf.saxon.s9api,ItemType.new ItemType() {...},11,0,0,0,5,0,5,0,5,0
BRMO TopNL loader,net.sf.saxon.s9api,SequenceType,21,0,0,0,7,0,4,0,4,0
BRMO TopNL loader,net.sf.saxon.s9api,XsltCompiler,138,0,8,0,36,0,18,0,14,0
BRMO TopNL loader,net.sf.saxon.s9api,XdmDestination.TreeProtector,136,0,16,0,40,0,17,0,9,0
BRMO TopNL loader,net.sf.saxon.s9api,ConstructedItemType,57,0,4,0,14,0,8,0,6,0
BRMO TopNL loader,net.sf.saxon.s9api,XQueryExecutable,48,0,0,0,11,0,6,0,6,0
BRMO TopNL loader,net.sf.saxon.s9api,XPathExecutable,113,0,6,0,27,0,12,0,9,0
BRMO TopNL loader,net.sf.saxon.s9api,ItemType.BuiltInAtomicItemType,83,0,10,0,25,0,12,0,7,0
BRMO TopNL loader,net.sf.saxon.s9api,BuildingStreamWriterImpl,26,0,0,0,9,0,2,0,2,0
BRMO TopNL loader,net.sf.saxon.s9api,Processor.ExtensionFunctionDefinitionWrapper,76,0,2,0,17,0,11,0,10,0
BRMO TopNL loader,net.sf.saxon.s9api,XPathExecutable.new Iterator() {...},27,0,0,0,4,0,4,0,4,0
BRMO TopNL loader,net.sf.saxon.s9api,ItemTypeFactory,715,0,110,0,157,0,94,0,13,0
BRMO TopNL loader,net.sf.saxon.s9api,XsltTransformer,392,0,46,0,104,0,52,0,29,0
BRMO TopNL loader,net.sf.saxon.s9api,XsltExecutable.ParameterDetails,30,0,0,0,7,0,4,0,4,0
BRMO TopNL loader,net.sf.saxon.s9api,XdmSequenceIterator,85,0,12,0,28,0,12,0,4,0
BRMO TopNL loader,net.sf.saxon.s9api,XQueryCompiler,410,0,18,0,109,0,41,0,32,0
