GEMCODE,NAAM,PLAATSCODE
1674,"Moerstraten","1593"
489,"Barendrecht","1594"
796,"'s-Hertogenbosch","1595"
796,"Rosmalen","1596"
394,"Hoofddorp","1597"
394,"Rozenburg","1598"
160,"Mariënberg","1558"
160,"Radewijk","1559"
160,"Rheeze","1560"
160,"Rheezerveen","1561"
160,"Schuinesloot","1562"
160,"Sibculo","1563"
160,"Slagharen","1564"
160,"Venebrugge","1565"
1742,"Rijssen","1566"
1742,"Holten","1567"
1706,"Maarheeze","1568"
1706,"Soerendonk","1569"
1706,"Gastel","1570"
1706,"Budel","1571"
1706,"Budel-Schoot","1572"
1706,"Budel-Dorplein","1573"
1509,"Varsseveld","1574"
1509,"Westendorp","1575"
1509,"Heelweg","1576"
1509,"Terborg","1577"
1509,"Silvolde","1578"
1509,"Sinderen","1579"
1509,"Ulft","1580"
1509,"Etten","1581"
1509,"Varsselder","1582"
1509,"Netterden","1583"
1509,"Megchelen","1584"
1509,"Gendringen","1585"
1509,"Voorst","1586"
1509,"Breedenbroek","1587"
1674,"Roosendaal","1588"
1674,"Wouw","1589"
1674,"Heerle","1590"
1674,"Nispen","1591"
1674,"Wouwse Plantage","1592"
74,"Haskerdijken","2490"
394,"Oude Meer","1599"
394,"Aalsmeerderbrug","1600"
394,"Rijsenhout","1601"
394,"Nieuw-Vennep","1602"
394,"Burgerveen","1603"
394,"Schiphol-Rijk","1604"
394,"Leimuiderbrug","1605"
394,"Weteringbrug","1606"
394,"Buitenkaag","1607"
394,"Abbenes","1608"
394,"Lisserbroek","1609"
394,"Beinsdorp","1610"
394,"Zwaanshoek","1611"
394,"Cruquius","1612"
394,"Vijfhuizen","1613"
394,"Zwanenburg","1614"
394,"Boesingheliede","1615"
394,"Lijnden","1616"
394,"Badhoevedorp","1617"
394,"Schiphol","1618"
865,"Vught","1619"
865,"Cromvoirt","1620"
1916,"Leidschendam","1621"
1916,"Voorburg","1622"
53,"Winsum","2475"
1901,"Reeuwijk","2476"
1901,"Driebruggen","2477"
1901,"Waarder","2478"
907,"Milsbeek","2479"
907,"Ottersum","2480"
907,"Ven-Zelderheide","2481"
907,"Gennep","2482"
907,"Heijen","2483"
74,"Nieuwebrug","2496"
1911,"Barsingerhorn","2514"
1911,"Haringhuizen","2515"
1911,"Kolhorn","2516"
1911,"Lutjewinkel","2517"
1911,"Nieuwe Niedorp","2518"
1911,"Oude Niedorp","2519"
1911,"'t Veld","2520"
1911,"Winkel","2521"
1911,"Zijdewind","2522"
351,"Woudenberg","2523"
80,"Eagum","2524"
74,"Akkrum","2525"
1900,"Dearsum","2526"
80,"Friens","2527"
80,"Grou","2528"
80,"Idaerd","2529"
80,"Jirnsum","2530"
74,"Nes","2531"
74,"Aldeboarn","2532"
1900,"Poppenwier","2533"
1900,"Raerd","2534"
80,"Reduzum","2535"
1900,"Sibrandabuorren","2536"
1900,"Tersoal","2538"
80,"Wergea","2539"
80,"Warstiens","2540"
58,"Nes","3405"
703,"Krabbendijke","3462"
703,"Kruiningen","3463"
703,"Rilland","3465"
703,"Waarde","3466"
703,"Yerseke","3467"
828,"Lith","3468"
828,"Lithoijen","3469"
828,"Oijen","3470"
828,"Maren-Kessel","3471"
828,"Teeffelen","3472"
263,"Alem","1623"
263,"Ammerzoden","1624"
263,"Hedel","1625"
58,"Niawier","3406"
58,"Oosternijkerk","3407"
58,"Oostrum","3408"
58,"Paesens","3409"
58,"Raard","3410"
58,"Ternaard","3411"
58,"Waaxens","3412"
58,"Wetsens","3413"
58,"Wierum","3414"
1663,"Eenrum","3415"
1663,"Hornhuizen","3416"
1663,"Houwerzijl","3417"
1663,"Kloosterburen","3418"
1663,"Lauwersoog","3419"
1663,"Leens","3420"
1663,"Mensingeweer","3421"
1663,"Niekerk","3422"
1663,"Pieterburen","3423"
1663,"Schouwerzijl","3424"
1663,"Ulrum","3425"
1663,"Vierhuizen","3426"
1663,"Warfhuizen","3427"
1663,"Wehe-den Hoorn","3428"
1663,"Westernieland","3429"
1663,"Zoutkamp","3430"
1663,"Zuurdijk","3431"
1723,"Alphen","3432"
1723,"Chaam","3433"
1723,"Galder","3434"
1723,"Strijbeek","3435"
1723,"Ulvenhout AC","3436"
1723,"Bavel AC","3437"
1894,"Beringe","3438"
1894,"Egchel","3439"
1894,"Grashoek","3440"
1894,"Helden","3441"
1894,"Koningslust","3442"
1894,"Panningen","3443"
24,"Eenum","3444"
24,"Garrelsweer","3445"
24,"Garsthuizen","3446"
24,"Huizinge","3447"
24,"Leermens","3448"
24,"Loppersum","3449"
24,"Middelstum","3450"
24,"Oosterwijtwerd","3451"
24,"Startenhuizen","3452"
24,"Stedum","3453"
24,"Toornwerd","3454"
24,"Westeremden","3455"
24,"Westerwijtwerd","3456"
24,"Wirdum","3457"
24,"'t Zandt","3458"
24,"Zeerijp","3459"
24,"Zijldijk","3460"
703,"Hansweert","3461"
263,"Rossum","1630"
263,"Velddriel","1631"
263,"Well","1632"
1699,"Alteveer","1633"
1699,"Een","1634"
1699,"Een-West","1635"
1699,"Foxwolde","1636"
1699,"Huis ter Heide","1637"
1699,"Langelo","1638"
1699,"Leutingewolde","1639"
1699,"Lieveren","1640"
1699,"Matsloot","1641"
1699,"Nietap","1642"
1699,"Nieuw-Roden","1643"
1699,"Norg","1644"
1699,"Peest","1645"
1699,"Peize","1646"
1699,"Roden","1647"
1699,"Roderesch","1648"
1699,"Roderwolde","1649"
1699,"Steenbergen","1650"
1699,"Veenhuizen","1651"
1699,"Westervelde","1652"
1699,"Zuidvelde","1653"
1859,"Gelselaar","1654"
1859,"Geesteren","1655"
1859,"Neede","1656"
1859,"Rietmolen","1657"
1859,"Ruurlo","1658"
1859,"Borculo","1659"
1859,"Haarlo","1660"
1859,"Beltrum","1661"
1859,"Eibergen","1662"
1859,"Rekken","1663"
307,"Amersfoort","1664"
307,"Hoogland","1665"
307,"Hooglanderveen","1666"
307,"Stoutenburg Noord","1667"
173,"Oldenzaal","1668"
173,"Deurningen","1669"
888,"Beek","1670"
888,"Spaubeek","1671"
888,"Maastricht-Airport","1672"
263,"Heerewaarden","1626"
263,"Hoenzadriel","1627"
263,"Hurwenen","1628"
263,"Kerkdriel","1629"
285,"Steenenkamer","2608"
285,"Terwolde","2609"
703,"Oostdijk","3464"
1651,"Eemshaven","3473"
1651,"Eppenhuizen","3474"
1651,"Kantens","3475"
1651,"Oldenzijl","3476"
1651,"Oosternieland","3477"
1651,"Oudeschip","3478"
1651,"Roodeschool","3479"
1651,"Rottum","3480"
1651,"Startenhuizen","3481"
1651,"Stitswerd","3482"
1651,"Uithuizen","3483"
1651,"Uithuizermeeden","3484"
1651,"Usquert","3485"
1651,"Warffum","3486"
1651,"Zandeweer","3487"
14,"Meerstad","3488"
879,"Zundert","3489"
879,"Rijsbergen","3490"
879,"Wernhout","3491"
879,"Klein Zundert","3492"
879,"Achtmaal","3493"
252,"Malden","3494"
252,"Heumen","3495"
252,"Overasselt","3496"
252,"Nederasselt","3497"
797,"Drunen","3498"
797,"Elshout","3499"
797,"Haarsteeg","3500"
797,"HEUSDEN GEM HEUSDEN","3501"
797,"Nieuwkuijk","3502"
1621,"Bleiswijk","1689"
1903,"Banholt","1690"
1903,"Bemelen","1691"
1903,"Cadier en Keer","1692"
1903,"Eckelrade","1693"
1903,"Margraten","1694"
1903,"Mheer","1695"
